Store,Listed By,Date,Flavor,Is Season Flavor,Quantity
Powers Inc,Chad Beck,2022-11-11,Mint,Yes,6
Leblanc-Bean,Amy Fields,2023-01-13,Lemon,No,17
"Lee, Bryan and Myers",Kristi Anderson,2021-04-09,Chocolate,No,46
"Hall, Jones and Bradford",Kyle Wolf,2021-12-18,Coconut,Yes,23
Church and Sons,Dr. Jennifer Hamilton,2020-07-26,Lemon,No,79
"Roman, Blackwell and Faulkner",Melissa Thompson,2020-10-23,Chocolate,Yes,74
Lewis PLC,Samantha Hill,2021-02-16,Vanilla,Yes,100
Smith Ltd,Cody Compton,2020-05-07,Strawberry,No,26
Smith Group,Gregory Mahoney,2020-12-24,Lemon,Yes,12
"Brown, Ware and Rodriguez",Zachary Bennett,2021-06-18,Lemon,No,24
"Pennington, Ryan and Hunt",Cameron Howard,2020-08-17,Coconut,No,60
"Gilbert, Smith and Jackson",Melanie Armstrong,2020-06-29,Vanilla,No,53
Clark Group,Christopher Knapp,2020-04-11,Vanilla,Yes,27
Anderson LLC,Michele Dixon,2023-01-22,Chocolate,No,47
Hudson PLC,Michelle Stewart,2021-07-01,Strawberry,Yes,19
Salazar-Rivers,Felicia Wagner,2021-10-10,Mint,Yes,50
"Guerrero, Roach and Hebert",Martha Dougherty,2022-11-25,Coconut,Yes,72
"Kane, Caldwell and Hunt",Chad Dawson,2022-12-10,Chocolate,Yes,20
Rivers and Sons,Tammy Pope,2021-03-15,Strawberry,No,58
Marshall-Davies,Taylor Bryant,2021-11-27,Lemon,Yes,68
Garcia PLC,Alexandra Glover,2023-02-12,Vanilla,No,62
"Kirk, Kim and May",Emily Howard,2023-06-17,Chocolate,No,9
Nichols PLC,Michael Smith,2020-11-19,Vanilla,Yes,67
Pratt LLC,Molly Roth,2023-06-28,Coconut,Yes,75
"Morris, Allen and Fry",Gabriella Reese,2021-11-12,Chocolate,No,26
"Kramer, Stevenson and Miller",Michael Perry,2021-08-22,Chocolate,Yes,9
Wallace-Bell,Corey Boyer,2024-03-12,Chocolate,Yes,94
Hurley Ltd,Kevin Steele,2023-07-15,Chocolate,No,38
Holloway Inc,Pamela Silva,2022-02-21,Mint,Yes,56
Wilson-Miller,Paula Weber,2022-03-09,Vanilla,No,22
Cox PLC,John Pratt,2023-11-12,Strawberry,Yes,94
